"ProvRoute","Year","Ponds"
"4302",1969,3
"4302",1970,0.5
"4302",1971,2.5
"4302",1972,3.5
"4302",1973,2
"4302",1974,3
"4302",1975,4.5
"4302",1976,5.5
"4302",1977,1.5
"4302",1978,13
"4302",1979,13.5
"4302",1980,3.5
"4302",1981,3
"4302",1982,9
"4302",1983,12
"4302",1984,3
"4302",1985,8
"4302",1986,6.5
"4302",1987,2
"4302",1988,4
"4302",1989,8
"4302",1990,9
"4302",1991,6.5
"4302",1992,3.5
"4302",1993,10
"4302",1994,19.5
"4302",1995,4.5
"4302",1996,17
"4302",1997,11
"4302",1998,3
"4302",1999,3
"4302",2000,2
"4302",2001,1
"4302",2002,3
"4302",2003,17.5
"4302",2004,6.5
"4302",2005,3.5
"4302",2006,6
"4302",2007,4.5
"4302",2008,3.5
"4302",2009,6.5
"4302",2010,33
"4302",2011,48.5
"4302",2012,5
"4302",2013,6.5
"4302",2014,25.5
"4302",2015,6.5
"4302",2016,2.5
"4302",2017,3
"4302",2018,19.5
"4302",2019,4
"4302",2022,2.5
"4812",1969,13.2
"4812",1970,18.6
"4812",1971,14.2
"4812",1972,10.2
"4812",1973,15.6
"4812",1974,64.6
"4812",1975,22.2
"4812",1976,15.2
"4812",1977,10.2
"4812",1978,12.8
"4812",1979,12.8
"4812",1980,18.8
"4812",1981,12.2
"4812",1982,16.2
"4812",1983,9.2
"4812",1984,20.6
"4812",1985,49.4
"4812",1986,18
"4812",1987,39.2
"4812",1988,17.2
"4812",1989,33
"4812",1990,32.8
"4812",1991,16.4
"4812",1992,28.2
"4812",1993,38.2
"4812",1994,36
"4812",1995,18.4
"4812",1996,24.4
"4812",1997,29.2
"4812",1998,14.6
"4812",1999,13.6
"4812",2000,19.4
"4812",2001,12.2
"4812",2002,19.2
"4812",2003,29.8
"4812",2004,13
"4812",2005,36.8
"4812",2006,36.6
"4812",2007,57.6
"4812",2008,17.8
"4812",2009,12.2
"4812",2010,23
"4812",2011,48
"4812",2012,26.6
"4812",2013,49.2
"4812",2014,35.2
"4812",2015,23.8
"4812",2016,23.2
"4812",2017,25.6
"4812",2018,25.8
"4812",2019,22
"4812",2022,19.2
"79103",1969,29.5
"79103",1970,62.25
"79103",1971,82.75
"79103",1972,31.75
"79103",1973,6.25
"79103",1974,47.75
"79103",1975,39.5
"79103",1976,55
"79103",1977,30.5
"79103",1978,63.75
"79103",1979,73.25
"79103",1980,27.75
"79103",1981,6.25
"79103",1982,33.25
"79103",1983,48
"79103",1984,21.25
"79103",1985,32
"79103",1986,43.75
"79103",1987,19.75
"79103",1988,6.75
"79103",1989,12.75
"79103",1990,24
"79103",1991,52.75
"79103",1992,42.75
"79103",1993,25
"79103",1994,48.25
"79103",1995,26.75
"79103",1996,85.25
"79103",1997,55.25
"79103",1998,19
"79103",1999,36.5
"79103",2000,35.75
"79103",2001,79.75
"79103",2002,11
"79103",2003,34
"79103",2004,42
"79103",2005,58.75
"79103",2006,59.5
"79103",2007,52.75
"79103",2008,28
"79103",2009,93.5
"79103",2010,44.75
"79103",2011,73.75
"79103",2012,100.25
"79103",2013,51.25
"79103",2014,68.5
"79103",2015,70
"79103",2016,14.5
"79103",2017,17.75
"79103",2018,11.25
"79103",2019,17.75
"79103",2022,34
"45414",1969,28
"45414",1970,53.5
"45414",1971,35
"45414",1972,36.5
"45414",1973,11
"45414",1974,53.5
"45414",1975,19.5
"45414",1976,45
